player_name,dg_id,my_pred
scottie scheffler,18417,2.908
jon rahm,19195,-10
rory mcilroy,10091,-10
bryson dechambeau,19841,1.945
tommy fleetwood,12294,-10
xander schauffele,19895,1.808
tyrrell hatton,14796,-10
collin morikawa,22085,1.54
viktor hovland,18841,-10
ludvig aberg,23950,-10
matt fitzpatrick,17646,-10
joaquin niemann,18079,-10
corey conners,17576,-10
robert macintyre,23323,-10
justin thomas,14139,1.35
adam scott,6430,-10
sepp straka,17511,-10
patrick cantlay,15466,1.299
aaron rai,18554,-10
shane lowry,13900,-10
sam burns,19483,1.218
maverick mcnealy,18634,1.192
russell henley,14578,1.218
ben griffin,24968,1.207
harry hall,27194,-10
jordan spieth,14636,1.066
j.j. spaun,17536,1.031
keegan bradley,13872,1.033
harris english,14577,1.095
si woo kim,14609,-10
taylor pendrith,17780,-10
chris gotterup,27774,1.029
daniel berger,17606,0.944
patrick reed,14838,1.053
nick taylor,13126,-10
nicolai hojgaard,23602,-10
jason day,9771,-10
marco penge,22465,-10
andrew novak,23475,0.743
hideki matsuyama,13562,-10
ryan fox,11889,-10
max greyserman,23465,0.678
tom mckibbin,22322,-10
davis thompson,27364,0.654
kevin yu,17881,-10
jordan smith,18586,-10
matt wallace,20706,-10
christiaan bezuidenhout,18103,-10
j.t. poston,21554,0.557
akshay bhatia,26096,0.515
michael kim,17543,0.59
thorbjorn olesen,13412,-10
brian harman,8825,0.57
tom kim,24766,-10
min woo lee,16841,-10
laurie canter,14795,-10
wyndham clark,23604,0.747
denny mccarthy,19870,0.593
rickie fowler,12965,0.504
cameron smith,15856,-10
thomas detry,14181,-10
justin rose,6093,-10
carlos ortiz,14735,-10
sungjae im,17488,-10
cameron young,26651,0.57
bud cauley,14502,0.471
rasmus hojgaard,23838,-10
byeong hun an,14459,-10
lucas glover,7399,0.409
lucas herbert,17064,-10
brooks koepka,16243,0.474
matt mccarty,28635,0.419
louis oosthuizen,7672,-10
jesper svensson,26850,-10
matti schmid,20722,-10
niklas norgaard,15676,-10
kristoffer reitan,21407,-10
nico echavarria,22833,-10
tony finau,11676,0.315
sergio garcia,5689,-10
mackenzie hughes,15556,-10
dean burmester,14424,-10
dustin johnson,12422,0.245
jhonattan vegas,13508,-10
daniel brown,20766,-10
antoine rozner,18770,-10
thriston lawrence,18105,-10
tom hoge,15575,0.217
haotong li,15310,-10
john parry,13764,-10
chris kirk,12423,0.056
matthew jordan,25601,-10
aldrich potgieter,27900,-10
marc leishman,7649,-10
stephan jaeger,16394,-10
martin couvra,27811,-10
sahith theegala,23014,-0.123
matteo manassero,11460,-10
takumi kanaya,19729,-10
adrien saddier,14792,-10
sebastian soderberg,18517,-10
daniel hillier,21362,-10
davis riley,19872,-0.548
matthieu pavon,19960,-10
zach johnson,6986,-0.377
rikuya hoshino,19190,-10
nathan kimsey,18027,-10
julien guerrier,10201,-10
jason kokrak,12337,-0.429
romain langasque,16652,-10
henrik stenson,5994,-10
brian campbell,18628,-0.439
stewart cink,5665,-0.462
francesco molinari,7655,-10
john catlin,18524,-0.501
oliver lindell,20085,-10
elvis smylie,24200,-10
jacob skov olesen,25611,-10
shaun norris,7677,-10
padraig harrington,5716,-10
phil mickelson,1547,-0.695
sadom kaewkanjana,19844,-10
daniel van tonder,15193,-10
lee westwood,4052,-10
angel hidalgo portillo,24127,-10
guido migliozzi,17357,-10
justin suh,22050,-1.176
daniel young,19908,-10
younghan song,16160,-10
filip jakubcik,26482,-10
riki kawamoto,22844,-10
ethan fang,30032657,-1.27
shugo imahira,13485,-10
curtis luck,16842,-10
dylan naidoo,19429,-10
darren fichardt,5754,-10
sampson zheng,26764,-10
ryggs johnston,32449,-1.49
justin hastings,31960,-10
connor graham,30034865,-10
darren clarke,3523,-10
john axelsen,19637,-10
cameron adam,30031172,-10
mikiya akutsu,15726,-10
george bloor,26594,-10
justin walters,8045,-10
justin leonard,5603,-2.193
k.j. choi,1804,-10
ryan peake,15169,-10
jesper sandborg,20454,-10
seb cave,30032803,-10
richard teder,32733,-10
oj farrell,28292,-10
frazer jones,30040444,-10
curtis knipes,25976,-10
bryan newman,33256,-10
